City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
Katherine,21,AU,1570555104,34,-14.47,132.26,80.6,8.05
Latung,0,ID,1570555104,77,-8.45,120.42,69.35,3.04
Kozani,90,GR,1570555104,82,40.3,21.79,55.4,1.5
Nioro,100,GM,1570555104,71,13.79,-15.05,83.39,3.65
Rikitea,100,PF,1570555050,85,-23.12,-134.97,67.19,11.79
Saint George,90,GR,1570555105,100,39.45,22.34,60.8,5.82
Khatanga,55,RU,1570555105,91,71.98,102.47,17.15,7.16
Vestmannaeyjar,75,IS,1570555106,93,63.44,-20.27,50.0,6.93
Namibe,90,AO,1570554875,69,-15.19,12.15,73.4,13.87
Tagusao,86,PH,1570555106,86,9.19,117.81,76.55,2.47
Muscat,0,OM,1570555106,79,23.6,58.55,84.2,1.12
Salalah,40,OM,1570554881,78,17.01,54.1,82.4,4.7
Nhulunbuy,40,AU,1570555106,88,-12.18,136.78,71.6,4.7
Kaitangata,100,NZ,1570554910,91,-46.28,169.85,48.99,3.0
Port Alfred,0,ZA,1570555107,87,-33.59,26.89,63.0,7.23
Isangel,98,VU,1570555107,77,-19.55,169.27,74.57,14.23
Santa Fe,100,AR,1570554922,65,-31.62,-60.7,70.0,5.01
Miraflores,0,PE,1570555107,7,-16.39,-71.52,71.6,12.75
Longonjo,100,AO,1570555107,86,-12.91,15.25,63.05,3.47
Davidson,100,CA,1570555108,94,51.26,-105.98,34.0,8.01
Dingtao,99,CN,1570555108,64,35.07,115.56,60.89,5.7
Richards Bay,1,ZA,1570555108,83,-28.77,32.06,69.89,5.38
Sao Simao,40,BR,1570555108,65,-21.48,-47.55,82.0,4.7
Alofi,100,NU,1570555109,78,-19.06,-169.92,73.4,5.82
Sao Filipe,13,CV,1570555109,81,14.9,-24.5,77.45,9.91
Acapulco,90,MX,1570555109,88,16.86,-99.88,77.0,5.82
Kamaishi,56,JP,1570555110,83,39.28,141.86,41.99,22.41
Mandalgovi,0,MN,1570555110,36,45.76,106.27,43.97,5.37
Klaksvik,75,FO,1570555110,93,62.23,-6.59,50.0,20.8
Coahuayana,96,MX,1570555110,73,18.62,-100.35,82.67,2.84
Bluff,34,AU,1570555111,32,-23.58,149.07,68.45,12.31
Puerto del Rosario,20,ES,1570555111,78,28.5,-13.86,78.8,10.29
Taltal,0,CL,1570555111,49,-25.41,-70.49,66.11,6.11
Mar del Plata,88,AR,1570555111,34,-46.43,-67.52,56.57,21.65
Kahului,1,US,1570555058,68,20.89,-156.47,77.0,7.94
Nuevo Progreso,20,US,1570555111,55,26.05,-97.95,87.8,3.36
Aklavik,40,CA,1570555112,85,68.22,-135.01,24.8,3.36
Garden City,40,US,1570555105,27,43.62,-116.24,64.0,6.93
Warragul,86,AU,1570555112,89,-38.16,145.93,48.0,2.23
Geraldton,20,CA,1570555112,58,49.72,-86.95,57.2,11.41
Kilindoni,62,TZ,1570555113,80,-7.91,39.67,79.79,21.65
Esperance,99,AU,1570555113,71,-33.86,121.89,55.4,13.87
Ayagoz,6,KZ,1570555113,29,47.96,80.43,54.05,7.07
Angoche,0,MZ,1570555113,72,-16.23,39.91,78.89,10.6
Faanui,87,PF,1570555114,84,-16.48,-151.75,77.27,21.22
Cap Malheureux,40,MU,1570555114,69,-19.98,57.61,73.4,14.99
Vuktyl,56,RU,1570555114,70,63.86,57.31,39.11,9.78
Bethel,90,US,1570555079,100,60.79,-161.76,44.6,9.17
Tall Kayf,85,TR,1570555114,21,37.08,41.07,78.8,6.93
Merauke,63,ID,1570555115,80,-8.49,140.4,77.09,18.14
Port Elizabeth,1,US,1570555115,52,39.31,-74.98,66.2,13.87
Avarua,100,CK,1570555115,60,-21.21,-159.78,69.8,9.17
Ilulissat,5,GL,1570555115,46,69.22,-51.1,32.0,2.24
Lagoa,0,PT,1570555116,69,37.14,-8.45,78.01,5.82
Castro,75,CL,1570555116,66,-42.48,-73.76,53.6,10.29
Grand Gaube,40,MU,1570555116,69,-20.01,57.66,73.4,14.99
Beyneu,40,KZ,1570555117,35,45.32,55.19,64.13,7.94
Turayf,75,SA,1570555117,37,31.68,38.65,84.2,6.93
Lorengau,41,PG,1570555117,82,-2.02,147.27,79.43,4.97
Uglekamensk,9,RU,1570555117,60,43.22,133.23,37.85,5.28
Jatibonico,96,CU,1570555117,72,21.94,-79.17,86.27,8.59
Chimbote,37,PE,1570555118,63,-9.08,-78.59,68.63,12.24
Berlevag,75,NO,1570555118,80,70.86,29.09,39.2,16.11
Mana,69,NG,1570555118,60,13.03,5.27,85.37,6.19
Baraki Barak,0,AF,1570555118,36,33.97,68.95,46.13,6.11
Dhidhdhoo,98,MV,1570555119,76,6.88,73.1,82.49,10.54
Tela,75,HN,1570555119,62,15.78,-87.45,91.99,5.82
Palmer,75,AU,1570555119,62,-34.85,139.16,53.01,5.82
Port Shepstone,0,ZA,1570555119,90,-30.74,30.45,58.55,3.2
Ust-Ilimsk,58,RU,1570555120,89,57.96,102.73,25.43,7.43
Hasaki,75,JP,1570555120,100,35.73,140.83,68.0,5.82
Yellowknife,75,CA,1570555120,86,62.45,-114.38,28.4,16.11
Beyla,40,GN,1570555120,85,8.69,-8.65,77.0,6.17
Nueva Gerona,96,CU,1570555121,76,21.88,-82.8,85.37,11.4
Sinegorye,34,RU,1570555121,45,62.09,150.53,6.89,1.81
Lompoc,40,US,1570555121,93,34.64,-120.46,62.6,3.36
Saldanha,53,PT,1570555121,59,41.42,-6.55,71.51,8.46
Berck,75,FR,1570555121,67,50.41,1.57,60.8,13.87
Hithadhoo,0,MV,1570555122,72,-0.6,73.08,82.31,9.82
Praia da Vitoria,40,PT,1570555122,56,38.73,-27.07,71.6,11.23
Faridpur,75,BD,1570555122,78,23.6,89.84,82.4,4.7
Innisfail,16,AU,1570554961,61,-17.52,146.03,64.49,3.33
Quelimane,34,MZ,1570555122,78,-17.88,36.89,80.6,13.87
Rosario,0,UY,1570555123,27,-34.31,-57.35,73.4,13.87
Westport,75,US,1570554925,59,41.14,-73.36,62.6,10.29
Meulaboh,100,ID,1570555123,77,4.14,96.13,79.97,4.97
Sorong,65,ID,1570555123,99,-0.86,131.25,72.41,0.31
Port Hardy,40,CA,1570555123,93,50.7,-127.42,41.0,9.17
Kropotkin,100,RU,1570555123,86,45.43,40.58,50.27,15.61
Torbay,90,CA,1570555124,82,47.66,-52.73,62.6,16.11
Ponta Delgada,40,PT,1570555124,60,37.73,-25.67,71.01,17.22
Alihe,70,CN,1570555124,88,50.57,123.73,40.73,4.04
Cidreira,90,BR,1570555124,68,-30.17,-50.22,69.89,15.77
Fukue,20,JP,1570555125,64,35.03,136.69,69.8,24.16
Arlit,42,NE,1570554949,15,18.74,7.39,99.95,3.47
Lexington,1,US,1570555024,55,38.05,-84.5,68.0,10.29
Tasiilaq,75,GL,1570555125,60,65.61,-37.64,42.8,6.93
Christchurch,100,NZ,1570555126,72,-43.53,172.64,59.0,4.7
Harper,1,US,1570555126,49,30.3,-99.24,78.01,5.82
Vostok,100,RU,1570555126,98,46.45,135.83,43.07,9.24
Caravelas,40,BR,1570555126,68,-17.73,-39.27,80.69,13.11
Yulara,0,AU,1570554988,25,-25.24,130.99,66.2,6.93
Severo-Kurilsk,98,RU,1570555127,97,50.68,156.12,41.45,12.66
Sarai Naurang,0,PK,1570555127,33,32.83,70.78,79.07,2.01
Grindavik,0,IS,1570555127,76,63.84,-22.43,53.6,4.7
Bolshevik,0,BY,1570555127,75,54.01,27.57,41.0,6.71
Udachnyy,90,RU,1570555127,92,66.42,112.4,17.6,8.95
Talnakh,0,RU,1570555128,92,69.49,88.39,19.4,4.47
Ormara,0,PK,1570555128,77,25.21,64.64,83.21,12.05
Hargeysa,63,SO,1570555128,52,9.56,44.06,74.57,4.47
Norman Wells,75,CA,1570555129,92,65.28,-126.83,24.8,3.36
Thompson,75,CA,1570554904,81,55.74,-97.86,50.0,4.7
Mao,75,DO,1570555130,49,19.55,-71.08,91.0,12.75
Deputatskiy,100,RU,1570554919,99,69.3,139.9,1.67,2.68
Gizo,51,IL,1570555130,72,31.8,34.94,79.0,14.12
Pereira Barreto,93,BR,1570555130,45,-20.64,-51.11,85.19,2.11
Ponta do Sol,98,BR,1570555131,74,-20.63,-46.0,73.85,2.2
Bambous Virieux,40,MU,1570555131,69,-20.34,57.76,73.4,14.99
Tuktoyaktuk,20,CA,1570554901,86,69.44,-133.03,26.6,13.87
Aranos,8,NA,1570555131,6,-24.14,19.11,75.47,13.67
Touros,40,BR,1570555131,48,-5.2,-35.46,86.0,18.34
Takoradi,100,GH,1570555131,87,4.89,-1.75,76.01,4.72
Saint-Francois,0,FR,1570555132,60,46.42,3.91,73.4,3.36
Kavaratti,3,IN,1570555132,68,10.57,72.64,83.21,4.8
Ginda,0,IN,1570555132,86,30.69,78.49,54.95,2.9
Saint-Georges,12,CA,1570555132,58,46.12,-70.67,57.0,5.99
Coihaique,75,CL,1570555133,53,-45.58,-72.07,51.8,9.17
Montrose,20,GB,1570555133,87,56.71,-2.47,53.6,23.04
Andros Town,75,BS,1570555133,79,24.73,-77.79,88.0,16.11
Luderitz,0,NA,1570555134,63,-26.65,15.16,66.2,26.4
Havoysund,40,NO,1570555134,86,71.0,24.66,39.2,13.87
Husavik,6,CA,1570555134,50,50.56,-96.99,61.0,5.99
Provideniya,100,RU,1570555134,99,64.42,-173.23,33.71,3.53
Batangafo,74,CF,1570555135,91,7.3,18.29,74.03,0.31
Aswan,0,EG,1570555135,18,24.09,32.9,100.4,10.29
Santa Maria da Vitoria,65,BR,1570555135,33,-13.39,-44.19,89.69,1.74
Souillac,90,FR,1570555136,93,45.6,-0.6,64.0,11.41
Kununurra,46,AU,1570555136,65,-15.77,128.74,80.6,5.82
Frontera,90,MX,1570555136,83,18.53,-92.64,82.4,7.7
San Quintin,0,PH,1570555136,85,17.54,120.52,71.87,5.32
Imeni Poliny Osipenko,87,RU,1570555136,96,52.42,136.49,39.83,3.25
Airai,0,TL,1570555035,75,-8.93,125.41,68.27,3.8
Pangnirtung,75,CA,1570555137,74,66.15,-65.72,37.4,3.36
Tocopilla,0,CL,1570555137,10,-22.09,-70.2,81.23,11.84
Ati,96,TD,1570555137,43,13.21,18.34,90.59,9.51
Puerto Narino,75,CO,1570555137,78,-3.77,-70.38,82.4,5.82
Douentza,19,ML,1570555137,10,15.01,-2.95,96.71,8.32
Oranjemund,0,ZA,1570555138,86,-28.55,16.43,59.09,13.71
Mvangue,100,CM,1570555138,98,2.97,11.5,69.53,5.06
Chokurdakh,84,RU,1570555138,98,70.62,147.9,8.69,2.95
Brae,20,GB,1570555138,93,60.4,-1.35,51.8,16.11
Ribeira Grande,20,PT,1570555139,56,38.52,-28.7,69.8,16.11
Peniche,20,PT,1570555139,64,39.36,-9.38,79.0,20.8
Vaitape,80,PF,1570555139,83,-16.52,-151.75,77.63,21.56
Clyde River,20,CA,1570555140,92,70.47,-68.59,26.6,2.24
Japura,98,ID,1570555140,98,-0.42,102.29,73.13,0.89
Skibbereen,20,IE,1570555140,76,51.55,-9.27,53.6,14.99
Carutapera,88,BR,1570555140,62,-1.2,-46.02,85.37,11.86
Qaanaaq,86,GL,1570555065,67,77.48,-69.36,20.03,10.27
Cherskiy,93,RU,1570555140,95,68.75,161.3,20.75,9.84
Gulistan,0,UZ,1570555141,32,40.5,68.78,61.61,3.58
Santa Rosa,0,AR,1570555141,14,-36.62,-64.29,75.47,7.85
Avera,75,US,1570555141,54,33.19,-82.53,84.99,8.05
Mount Gambier,75,AU,1570555141,87,-37.83,140.78,44.6,5.82
Coruripe,27,BR,1570555141,73,-10.12,-36.18,78.89,15.54
Nakamura,20,JP,1570555142,64,35.17,136.87,69.8,24.16
Cervo,90,BR,1570555142,83,-22.19,-46.24,69.8,6.77
Veraval,75,FR,1570555142,77,49.65,0.71,59.0,11.41
Auki,96,NG,1570555142,76,12.18,6.51,78.71,5.03
Port Hedland,0,AU,1570555143,94,-20.31,118.58,69.8,4.7
Ancud,75,CL,1570555143,66,-41.87,-73.83,53.6,10.29
Salvador,20,BR,1570554913,69,-12.98,-38.48,82.4,19.46
Charters Towers,0,AU,1570555143,31,-20.07,146.27,68.63,9.06
General Cepeda,5,MX,1570555144,60,25.38,-101.48,73.0,10.11
La Rioja,23,AR,1570555144,36,-29.41,-66.86,72.41,8.25
Ouallam,100,NE,1570555145,32,14.32,2.08,97.07,11.61
Gazojak,0,TM,1570555145,22,41.19,61.4,65.21,7.83
Kanata,20,CA,1570555145,54,45.32,-75.9,64.0,5.82
Port-Gentil,75,GA,1570555146,83,-0.72,8.78,80.6,13.87
Vardo,20,US,1570555044,48,39.62,-77.74,64.99,12.75
Karpogory,100,RU,1570555146,96,64.0,44.44,33.35,13.94
Sturgeon Bay,1,US,1570554920,45,44.83,-87.38,66.0,12.75
Iquique,20,CL,1570555146,67,-20.22,-70.14,62.6,11.41
Waingapu,0,ID,1570555147,79,-9.65,120.26,69.71,5.39
Dunedin,100,NZ,1570555147,91,-45.87,170.5,51.01,7.0
Sitka,0,US,1570555147,39,37.17,-99.65,72.0,24.0
Skagen,100,SE,1570555147,100,58.6,13.44,41.0,5.82
San Patricio,0,PY,1570555147,38,-26.98,-56.83,83.57,5.23
Kibaya,40,RW,1570555148,41,-2.2,30.56,77.0,4.7
Kirensk,98,RU,1570555148,85,57.78,108.12,22.91,7.61
Mount Pleasant,1,US,1570555095,40,33.16,-94.97,73.99,9.17
Te Anau,100,NZ,1570555148,97,-45.41,167.72,46.13,2.26
Fortuna,1,US,1570555148,93,40.6,-124.16,60.01,4.7
The Valley,40,AI,1570555149,62,18.22,-63.06,91.0,14.99
Bossangoa,66,CF,1570555149,92,6.5,17.45,73.85,2.0
Victoria,75,BN,1570555149,94,5.28,115.24,77.0,3.36
Calatayud,47,ES,1570555149,56,41.35,-1.64,82.4,10.29
Wanning,75,AT,1570555149,76,48.64,13.53,57.2,9.17
Kalmunai,13,LK,1570555150,75,7.42,81.82,82.85,8.76
Balabac,94,PH,1570555150,74,7.99,117.06,81.23,1.79
Lavrentiya,100,RU,1570555150,98,65.58,-170.99,32.45,5.03
Karaton,75,ID,1570555150,88,-6.34,106.1,77.0,4.7
Yate,26,GB,1570555150,76,51.54,-2.41,57.99,16.11
Karratha,0,AU,1570555151,56,-20.74,116.85,79.07,8.75
Jamsa,75,FI,1570555151,93,61.86,25.19,36.0,2.24
Dingle,68,PH,1570555151,87,11.0,122.67,73.85,3.65
Jackville,20,CI,1570555151,78,5.21,-4.42,82.4,12.75
Maragogi,48,BR,1570555151,65,-9.01,-35.22,80.69,12.39
Keti Bandar,0,PK,1570555152,70,24.14,67.45,84.47,11.23
Bojnurd,0,IR,1570555152,52,37.47,57.33,64.4,4.7
Chhuikhadan,90,IN,1570555152,85,21.52,81.0,74.21,5.41
Vila Velha,20,BR,1570555153,48,-3.71,-38.6,87.8,23.04
Mauldin,90,US,1570555153,73,34.78,-82.31,78.01,10.29
Curitibanos,96,BR,1570555153,99,-27.29,-50.58,79.0,4.0
Iqaluit,75,CA,1570555153,87,63.75,-68.52,42.8,4.7
Salacgriva,100,LV,1570555154,89,57.75,24.36,42.01,3.0
Slave Lake,90,CA,1570555001,74,55.28,-114.77,30.2,10.29
Grand-Lahou,99,CI,1570555154,87,5.24,-5.0,75.83,5.17
Mayahi,9,NE,1570555154,44,13.95,7.67,85.91,10.58
Ahipara,11,NZ,1570555154,100,-35.17,173.16,48.99,5.84
Ono,16,JP,1570555155,60,34.86,134.95,68.0,17.22
Gopamau,0,IN,1570555155,60,27.53,80.29,76.55,3.81
Varkaus,0,FI,1570555155,92,62.32,27.87,33.01,2.24
Bathsheba,20,BB,1570555139,66,13.22,-59.52,87.8,17.22
Hovd,75,NO,1570555155,83,63.83,10.7,46.0,17.22
Rumford,90,US,1570554969,51,44.55,-70.55,63.0,4.7
Maningrida,25,AU,1570555156,95,-12.05,134.23,70.07,4.22
Ningyang,99,CN,1570555156,39,35.76,116.79,69.01,3.86
Nuuk,20,GL,1570555156,60,64.17,-51.74,41.0,4.7
Naze,75,NG,1570554892,83,5.43,7.07,80.6,4.7
Half Moon Bay,40,US,1570555095,60,37.46,-122.43,75.0,4.7
Chuy,0,UY,1570555070,52,-33.69,-53.46,67.37,4.12
Leningradskiy,100,RU,1570555157,96,69.38,178.42,34.97,31.34
Pekan,75,MY,1570555157,94,3.49,103.39,78.8,1.12
Pawai,0,IN,1570555157,65,24.27,80.17,74.93,1.12
Boyolangu,76,ID,1570555158,96,-8.09,111.9,70.61,6.05
Viedma,39,AR,1570555158,28,-40.81,-62.99,63.77,16.51
Malinyi,57,TZ,1570555158,52,-8.94,36.14,81.59,5.73
Luau,99,CD,1570555158,72,-10.7,22.23,71.69,4.65
Shelopugino,100,RU,1570555158,77,51.65,117.56,45.77,9.82
Walvis Bay,1,NA,1570555159,72,-22.95,14.51,63.0,10.29
Pouembout,44,NC,1570555159,95,-21.12,164.9,62.33,2.8
Dali,99,CN,1570555159,82,34.79,109.94,56.93,8.61
Saint-Augustin,40,CA,1570555159,47,45.63,-73.98,62.01,3.36
Hamilton,20,CA,1570555160,67,43.26,-79.87,66.0,8.05
Saskylakh,70,RU,1570555160,97,71.97,114.09,16.97,9.46
Kuntaur,77,GM,1570555160,87,13.67,-14.89,78.53,4.03
Cayenne,4,GF,1570555160,88,4.94,-52.33,80.6,4.7
Sainte-Rose,20,CA,1570555161,58,45.61,-73.79,62.01,4.7
Butte,90,US,1570555161,28,46.01,-112.54,64.99,9.17
Ostrovnoy,100,RU,1570554890,96,68.05,39.51,37.31,15.79
Constitucion,5,MX,1570555161,37,23.99,-104.67,68.0,3.36
Selma,0,US,1570555161,51,32.41,-87.02,82.4,3.36
Beloha,0,MG,1570555161,36,-25.17,45.06,81.59,3.39
Srednekolymsk,0,RU,1570555162,89,67.46,153.71,8.87,5.1
Stonewall,40,CA,1570555162,62,50.13,-97.33,66.99,16.11
Kedrovyy,0,RU,1570555162,69,56.17,91.82,37.4,2.24
North Bend,90,US,1570555162,93,43.41,-124.22,57.99,6.93
San Rafael,54,AR,1570555163,17,-34.61,-68.33,70.25,7.75
Tiksi,100,RU,1570555135,84,71.64,128.87,25.79,17.07
Chernihiv,85,UA,1570555163,64,51.49,31.29,41.27,9.27
Nassau,0,AT,1570555163,71,46.81,15.34,55.4,4.7
Mayumba,57,GA,1570555164,89,-3.44,10.65,77.45,11.99
Mandurah,100,AU,1570555164,77,-32.55,115.7,64.0,5.82
Cascais,20,PT,1570555164,73,38.7,-9.42,78.8,27.51
Lavumisa,97,ZA,1570555164,64,-27.31,31.88,73.4,2.24
Cockburn Town,79,TC,1570555164,80,21.46,-71.14,82.85,15.81
Aykhal,90,RU,1570555165,92,65.95,111.51,17.6,8.95
Juba,100,EE,1570555165,81,57.82,26.93,42.8,6.93
Karakol,13,KG,1570555165,33,42.49,78.39,47.21,5.51
Henties Bay,4,NA,1570555165,87,-22.12,14.28,63.0,5.99
Upernavik,100,GL,1570555166,48,72.79,-56.15,30.11,6.82
Denpasar,20,ID,1570555166,88,-8.65,115.22,77.0,2.24
Panama City,1,US,1570555064,45,30.16,-85.65,90.0,8.05
Kupang,7,ID,1570555166,70,-10.16,123.6,77.09,7.52
Jalu,0,LY,1570555166,22,29.03,21.55,84.11,16.6
Pisco,90,PE,1570555167,30,-13.71,-76.2,71.6,10.29
Bongouanou,99,CI,1570555167,96,6.65,-4.2,74.93,2.91
Namatanai,57,PG,1570555167,86,-3.66,152.44,78.53,11.43
Kumluca,82,TR,1570555167,82,36.37,30.29,65.93,3.2
Riviere-au-Renard,75,CA,1570555167,48,49.0,-64.4,60.8,13.87
Nanortalik,100,GL,1570555043,86,60.14,-45.24,39.47,5.5
Omsukchan,0,RU,1570555168,85,62.53,155.8,-0.68,1.21
Margate,75,AU,1570555168,75,-43.03,147.26,46.0,10.29
Pundaguitan,88,PH,1570555168,77,6.37,126.17,82.49,10.61
Xining,96,CN,1570555169,78,36.62,101.77,45.05,2.21
Axim,100,GH,1570555169,87,4.87,-2.24,76.01,4.72
Obera,48,AR,1570555169,38,-27.49,-55.12,81.23,5.17
Canton,1,US,1570555152,52,40.8,-81.38,68.0,8.05
Tomatlan,53,MX,1570555170,75,19.93,-105.25,85.01,4.68
Vilyuysk,100,RU,1570555170,94,63.75,121.63,22.91,8.01
Portage,1,US,1570555170,37,41.58,-87.18,72.0,6.93
Sisimiut,64,GL,1570555170,53,66.94,-53.67,38.39,4.03
Necochea,39,AR,1570555170,61,-38.55,-58.74,57.99,11.99
Kozhva,85,RU,1570555171,75,65.11,57.05,37.85,7.16
West Bay,75,CA,1570555171,70,49.34,-123.21,51.01,8.05
Yafran,39,LY,1570555171,72,32.06,12.53,63.05,10.76
Pictou,100,CA,1570555171,82,45.68,-62.71,62.01,11.99
Myitkyina,89,MM,1570555172,71,25.38,97.4,70.61,2.51
Buala,89,SB,1570555172,81,-8.15,159.59,79.97,4.5
Lukovetskiy,90,RU,1570555172,100,64.29,41.92,33.8,8.95
Newcastle,38,AU,1570555172,71,-32.93,151.78,55.0,10.29
Khawhai,87,IN,1570555172,97,23.52,93.19,64.13,1.62
Praia,0,BR,1570555173,35,-20.25,-43.81,86.0,10.29
Tecoanapa,90,MX,1570555173,88,16.99,-99.26,77.0,5.82
Tres Arroyos,23,AR,1570555173,34,-38.38,-60.28,65.21,12.03
Tamasopo,55,MX,1570555173,65,21.92,-99.39,74.03,5.37
Bajil,0,ES,1570555173,77,38.23,-2.07,69.01,5.99
Russell,1,US,1570555174,39,38.9,-98.86,72.0,21.92
Rio Cuarto,10,AR,1570555174,24,-33.13,-64.35,78.8,20.8
Barkot,0,IN,1570555175,83,30.81,78.21,50.45,3.53
Aguimes,20,ES,1570555175,65,27.91,-15.45,77.0,21.92
Mackay,90,CA,1570555175,62,53.65,-115.58,24.8,11.41
Baniachang,20,BD,1570555175,80,24.52,91.37,77.99,1.12
Cabo San Lucas,5,MX,1570555176,41,22.89,-109.91,96.01,8.05
Khani,75,GE,1570555176,72,41.96,42.96,68.0,12.75
Khalkhal,0,IR,1570555176,28,37.62,48.53,51.53,2.42
Podor,82,MR,1570555176,59,16.65,-14.96,93.2,2.24
Los Llanos de Aridane,75,ES,1570555177,69,28.66,-17.92,75.2,12.75
Sinnamary,0,GF,1570555177,78,5.38,-52.96,82.85,19.27
Lethem,46,GY,1570555177,44,3.38,-59.8,92.93,4.66
Ketchikan,1,US,1570555178,48,55.34,-131.65,44.6,13.87
Dongkan,80,CN,1570555178,86,34.0,119.83,58.19,3.6
Arona,25,IT,1570555178,63,45.76,8.56,64.99,1.12
Pacific Grove,1,US,1570555178,46,36.62,-121.92,75.0,3.36
Lata,2,IN,1570555179,88,30.78,78.62,29.21,2.26
Wukari,67,NG,1570555179,92,7.87,9.78,75.11,4.34
Vila Franca do Campo,40,PT,1570555179,60,37.72,-25.43,71.01,17.22
Tessalit,25,ML,1570555179,10,20.2,1.01,98.69,10.82
